win,lose,probability
Los Angeles Lakers,Orlando Magic,0.6120922915411633
New York Knicks,Memphis Grizzlies,0.7507390633257813
Portland Trail Blazers,Los Angeles Clippers,0.5936319495727758
Utah Jazz,Sacramento Kings,0.875545455006943
Toronto Raptors,Miami Heat,0.7475927954313828
San Antonio Spurs,Chicago Bulls,0.8623411301743495
Milwaukee Bucks,Charlotte Hornets,0.6461177066142492
Cleveland Cavaliers,Minnesota Timberwolves,0.5570156238811639
Golden State Warriors,Orlando Magic,0.9039875174221126
Boston Celtics,New Orleans Pelicans,0.5530142213305622
Utah Jazz,Indiana Pacers,0.5382304604196914
Houston Rockets,Washington Wizards,0.7407323833808476
Denver Nuggets,Los Angeles Lakers,0.6922014311052921
Detroit Pistons,New York Knicks,0.6255303081030967
Toronto Raptors,Memphis Grizzlies,0.9446665774316619
Miami Heat,Atlanta Hawks,0.7741908403514335
Indiana Pacers,Phoenix Suns,0.924510769596812
Utah Jazz,Brooklyn Nets,0.8590480430225722
Charlotte Hornets,Atlanta Hawks,0.6217911119973297
Houston Rockets,Dallas Mavericks,0.92787532622856
Los Angeles Clippers,Phoenix Suns,0.7968375448722899
Milwaukee Bucks,Chicago Bulls,0.7767801453070009
San Antonio Spurs,Minnesota Timberwolves,0.5403472370259084
New Orleans Pelicans,Washington Wizards,0.582042408280417
Oklahoma City Thunder,Cleveland Cavaliers,0.5057472396074756
Philadelphia 76ers,New York Knicks,0.8154954772681587
Portland Trail Blazers,Orlando Magic,0.7956174203502876
Indiana Pacers,Los Angeles Lakers,0.7073661125767794
Los Angeles Clippers,Sacramento Kings,0.8169685599875876
Toronto Raptors,Golden State Warriors,0.5301403404686021
Boston Celtics,Cleveland Cavaliers,0.6079473893525585
Memphis Grizzlies,Brooklyn Nets,0.5107771056422159
Utah Jazz,Charlotte Hornets,0.7370230343471634
Detroit Pistons,Chicago Bulls,0.6931907400979401
Los Angeles Lakers,Dallas Mavericks,0.5961267453386603
New Orleans Pelicans,Miami Heat,0.5609011917579088
Oklahoma City Thunder,Atlanta Hawks,0.8250972002197644
Philadelphia 76ers,Washington Wizards,0.6531284486015769
Orlando Magic,Phoenix Suns,0.7625177666409568
Portland Trail Blazers,Denver Nuggets,0.519191844898207
Houston Rockets,San Antonio Spurs,0.7341431931645912
Toronto Raptors,Cleveland Cavaliers,0.6067146623463335
Golden State Warriors,Detroit Pistons,0.7767558294785624
Houston Rockets,Chicago Bulls,0.9352453205197168
Boston Celtics,Minnesota Timberwolves,0.6168888728182835
Milwaukee Bucks,New York Knicks,0.7642139055437387
Indiana Pacers,Sacramento Kings,0.8646615867877245
Washington Wizards,Brooklyn Nets,0.736561373279112
New Orleans Pelicans,Charlotte Hornets,0.7270667326412782
Los Angeles Clippers,Dallas Mavericks,0.8110959855341846
Los Angeles Lakers,Phoenix Suns,0.7219699251461896
Utah Jazz,Miami Heat,0.5733621602893724
Philadelphia 76ers,Memphis Grizzlies,0.8877912692475718
Portland Trail Blazers,San Antonio Spurs,0.5251056469787052
Golden State Warriors,Atlanta Hawks,0.9291558859104553
Cleveland Cavaliers,Brooklyn Nets,0.8591171184361156
Oklahoma City Thunder,Detroit Pistons,0.6513088367658889
Houston Rockets,Minnesota Timberwolves,0.7496565762908791
New Orleans Pelicans,Los Angeles Clippers,0.6123955705888432
Washington Wizards,New York Knicks,0.7817210290308475
Toronto Raptors,Denver Nuggets,0.7008583526753912
Portland Trail Blazers,Dallas Mavericks,0.8620683190049079
Indiana Pacers,Chicago Bulls,0.8065664694515505
Miami Heat,Orlando Magic,0.7575889966676376
Sacramento Kings,Phoenix Suns,0.7491954416577744
Utah Jazz,San Antonio Spurs,0.5389735649382953
Washington Wizards,Atlanta Hawks,0.8411952591822723
Oklahoma City Thunder,Brooklyn Nets,0.8536168936222055
Golden State Warriors,Cleveland Cavaliers,0.6126760698048441
San Antonio Spurs,Los Angeles Lakers,0.7067467510299008
Los Angeles Clippers,Memphis Grizzlies,0.8617177263124476
Milwaukee Bucks,Detroit Pistons,0.5783244508895328
Minnesota Timberwolves,Charlotte Hornets,0.5953345340871827
New Orleans Pelicans,Dallas Mavericks,0.7975019907225068
Denver Nuggets,Orlando Magic,0.8480445890859083
Toronto Raptors,Philadelphia 76ers,0.6366254112141511
Boston Celtics,New York Knicks,0.8349742809889615
Portland Trail Blazers,Phoenix Suns,0.8649776536284458
Houston Rockets,Utah Jazz,0.6854278476642897
Toronto Raptors,Brooklyn Nets,0.9137467822116562
Oklahoma City Thunder,Chicago Bulls,0.8687622321531366
Denver Nuggets,Charlotte Hornets,0.7063627956096507
Cleveland Cavaliers,Sacramento Kings,0.8357078295358005
Philadelphia 76ers,Detroit Pistons,0.6914315486193751
Golden State Warriors,Milwaukee Bucks,0.6931609155233387
New Orleans Pelicans,Memphis Grizzlies,0.8540492867329628
Indiana Pacers,Orlando Magic,0.8551735236161716
Miami Heat,Phoenix Suns,0.9015375587382684
San Antonio Spurs,Los Angeles Lakers,0.6528956604411231
Denver Nuggets,Atlanta Hawks,0.8633165485448057
Boston Celtics,Chicago Bulls,0.8956216189257963
Cleveland Cavaliers,Washington Wizards,0.6101805566149513
Houston Rockets,Dallas Mavericks,0.9397898400861284
Indiana Pacers,Sacramento Kings,0.8101709218210478
Miami Heat,Los Angeles Clippers,0.5447269252322664
Los Angeles Lakers,Memphis Grizzlies,0.8134765801261906
Brooklyn Nets,New York Knicks,0.5895756151610785
Portland Trail Blazers,Minnesota Timberwolves,0.5084386985898247
New Orleans Pelicans,Detroit Pistons,0.6498058751119024
Charlotte Hornets,New York Knicks,0.7225844447569237
Utah Jazz,San Antonio Spurs,0.5448893844252134
Toronto Raptors,Milwaukee Bucks,0.7553135258211064
Boston Celtics,New Orleans Pelicans,0.620112240297202
Sacramento Kings,Chicago Bulls,0.6051364517377913
Orlando Magic,Dallas Mavericks,0.6170446057605663
Denver Nuggets,Memphis Grizzlies,0.8535709752950681
Golden State Warriors,Minnesota Timberwolves,0.7144244278716111
Indiana Pacers,Washington Wizards,0.5677212010640955
Miami Heat,Los Angeles Lakers,0.6437729774470711
Cleveland Cavaliers,Milwaukee Bucks,0.5591214181037805
Oklahoma City Thunder,Utah Jazz,0.5058898677070731
Philadelphia 76ers,Detroit Pistons,0.7020357104569988
Los Angeles Clippers,Phoenix Suns,0.8953560263882216
Houston Rockets,Portland Trail Blazers,0.7800077217324322
Toronto Raptors,Los Angeles Clippers,0.7538852870676547
San Antonio Spurs,Phoenix Suns,0.8523540335618549
Detroit Pistons,Charlotte Hornets,0.6171874352534165
Cleveland Cavaliers,New York Knicks,0.7860661120223447
Atlanta Hawks,Dallas Mavericks,0.5949341253159742
Golden State Warriors,Toronto Raptors,0.5632563726207429
Indiana Pacers,Milwaukee Bucks,0.5920293556135584
Portland Trail Blazers,Memphis Grizzlies,0.9007029227635889
New Orleans Pelicans,Oklahoma City Thunder,0.5116428278049497
Philadelphia 76ers,Brooklyn Nets,0.8243833284303221
Minnesota Timberwolves,Sacramento Kings,0.863088784056117
Utah Jazz,Miami Heat,0.609228178184873
Boston Celtics,Washington Wizards,0.6057210412116925
Houston Rockets,Los Angeles Lakers,0.8805880232541633
Chicago Bulls,Orlando Magic,0.5958223602633297
Dallas Mavericks,Phoenix Suns,0.7743950042173163
San Antonio Spurs,Los Angeles Clippers,0.5683007348268321
Boston Celtics,Atlanta Hawks,0.8772856271573152
Washington Wizards,Brooklyn Nets,0.8143718621979495
Charlotte Hornets,New York Knicks,0.5377987438176982
Cleveland Cavaliers,Milwaukee Bucks,0.6336418618376576
Denver Nuggets,Oklahoma City Thunder,0.5106852902315411
Miami Heat,Memphis Grizzlies,0.8695969351488416
Philadelphia 76ers,Indiana Pacers,0.5987914319899723
Toronto Raptors,Portland Trail Blazers,0.6522227582054758
Golden State Warriors,Sacramento Kings,0.9261375841995585
Los Angeles Lakers,Charlotte Hornets,0.5544626797084842
